"","season","hour","plant.scale","top","a","b","R2","site_name"
"195","All","Low Mixing Hours","scale_1x","Top 2%",0.579818271736255,0.134085344167555,0.984955844571592,"Lancaster_WPP"
"196","Spring (MAM)","All Hours","scale_1x","Top 2%",0.57471263450031,-0.137872486733564,0.971670833795069,"MONTEREY_WPCA"
"197","Spring (MAM)","High Mixing Hours","scale_1x","Top 2%",0.425489590781219,0.421217992256549,0.845343062463843,"MONTEREY_WPCA"
"198","Spring (MAM)","Low Mixing Hours","scale_1x","Top 2%",0.570508802431802,0.14630690357822,0.97397898206088,"MONTEREY_WPCA"
"199","Summer (JJA)","All Hours","scale_1x","Top 2%",0.623762631669094,-0.432028683529177,0.965260655329184,"MONTEREY_WPCA"
"200","Summer (JJA)","High Mixing Hours","scale_1x","Top 2%",0.428265168730573,0.417226792759606,0.860612642031208,"MONTEREY_WPCA"
"201","Summer (JJA)","Low Mixing Hours","scale_1x","Top 2%",0.610221396325965,-0.185330691451984,0.985120980179806,"MONTEREY_WPCA"
"202","Fall (SON)","All Hours","scale_1x","Top 2%",0.526081718926788,0.543456186502454,0.978923643957357,"MONTEREY_WPCA"
"203","Fall (SON)","High Mixing Hours","scale_1x","Top 2%",0.458375400604029,0.283519215510397,0.925381018777018,"MONTEREY_WPCA"
"204","Fall (SON)","Low Mixing Hours","scale_1x","Top 2%",0.663619181635589,0.0766911627385219,0.97851829434924,"MONTEREY_WPCA"
"205","Winter (DJF)","All Hours","scale_1x","Top 2%",0.620167192472332,0.300785876727645,0.981181170005083,"MONTEREY_WPCA"
"206","Winter (DJF)","High Mixing Hours","scale_1x","Top 2%",0.556880714249519,-0.128046992059865,0.962532929596394,"MONTEREY_WPCA"
"207","Winter (DJF)","Low Mixing Hours","scale_1x","Top 2%",0.64938746159041,0.257959256909595,0.982109111398855,"MONTEREY_WPCA"
"208","All","All Hours","scale_1x","Top 2%",0.528392664310064,0.435026406465387,0.973706717058858,"MONTEREY_WPCA"
"209","All","High Mixing Hours","scale_1x","Top 2%",0.460534138981011,0.256439911917999,0.907076826063696,"MONTEREY_WPCA"
"210","All","Low Mixing Hours","scale_1x","Top 2%",0.623296852479672,0.252865993478624,0.984632474024409,"MONTEREY_WPCA"
"211","Spring (MAM)","All Hours","scale_1x","Top 2%",0.535376968073398,0.239752203738709,0.976112795643417,"Palm_WPCP"
"212","Spring (MAM)","High Mixing Hours","scale_1x","Top 2%",0.448122706957462,0.212173818205576,0.861799311161123,"Palm_WPCP"
"213","Spring (MAM)","Low Mixing Hours","scale_1x","Top 2%",0.616444579811324,0.243836902070808,0.98443931365418,"Palm_WPCP"
"214","Summer (JJA)","All Hours","scale_1x","Top 2%",0.596174029843882,-0.376405072087743,0.937441123311502,"Palm_WPCP"
"215","Summer (JJA)","High Mixing Hours","scale_1x","Top 2%",0.426547123462029,0.328603470198275,0.827270205373274,"Palm_WPCP"
"216","Summer (JJA)","Low Mixing Hours","scale_1x","Top 2%",0.700780674389345,-0.774359267487574,0.976227466953757,"Palm_WPCP"
"217","Fall (SON)","All Hours","scale_1x","Top 2%",0.599693670403148,0.404784232976891,0.97618939032095,"Palm_WPCP"
"218","Fall (SON)","High Mixing Hours","scale_1x","Top 2%",0.58868253568795,-0.470682116463844,0.948195458493396,"Palm_WPCP"
"219","Fall (SON)","Low Mixing Hours","scale_1x","Top 2%",0.629377508087509,0.51256667289472,0.971216067975959,"Palm_WPCP"
"220","Winter (DJF)","All Hours","scale_1x","Top 2%",0.618816905929873,0.498837219040129,0.973932068362136,"Palm_WPCP"
"221","Winter (DJF)","High Mixing Hours","scale_1x","Top 2%",0.754772834091297,-1.11240245428552,0.97664889219759,"Palm_WPCP"
"222","Winter (DJF)","Low Mixing Hours","scale_1x","Top 2%",0.707671205216504,0.336975487063983,0.961854099451747,"Palm_WPCP"
"223","All","All Hours","scale_1x","Top 2%",0.543606516335201,0.563546716079074,0.975759370526882,"Palm_WPCP"
"224","All","High Mixing Hours","scale_1x","Top 2%",0.519016669115857,-0.115915801510037,0.936273547805014,"Palm_WPCP"
"225","All","Low Mixing Hours","scale_1x","Top 2%",0.615690390564734,0.490405928586864,0.97634423649908,"Palm_WPCP"
"226","Spring (MAM)","All Hours","scale_1x","Top 2%",0.516877935410318,0.447388476938461,0.987961774373839,"Porterville_WWTF"
"227","Spring (MAM)","High Mixing Hours","scale_1x","Top 2%",0.417475865580689,0.526215336816323,0.893251874598623,"Porterville_WWTF"
"228","Spring (MAM)","Low Mixing Hours","scale_1x","Top 2%",0.651335687338554,0.192085057156881,0.986535044232404,"Porterville_WWTF"
"229","Summer (JJA)","All Hours","scale_1x","Top 2%",0.551575886503418,0.232104349796774,0.979653933393328,"Porterville_WWTF"
"230","Summer (JJA)","High Mixing Hours","scale_1x","Top 2%",0.396280660788955,0.580754922950269,0.810570601308581,"Porterville_WWTF"
"231","Summer (JJA)","Low Mixing Hours","scale_1x","Top 2%",0.529878230562057,0.61890904046585,0.980882691450187,"Porterville_WWTF"
"232","Fall (SON)","All Hours","scale_1x","Top 2%",0.583577063114586,0.240340229387212,0.978717369744431,"Porterville_WWTF"
"233","Fall (SON)","High Mixing Hours","scale_1x","Top 2%",0.454890336802477,0.383205946270054,0.915908048986528,"Porterville_WWTF"
"234","Fall (SON)","Low Mixing Hours","scale_1x","Top 2%",0.652128410779154,0.209395892637933,0.987514408616905,"Porterville_WWTF"
"235","Winter (DJF)","All Hours","scale_1x","Top 2%",0.593304179262882,0.489118022586464,0.983340733268306,"Porterville_WWTF"
"236","Winter (DJF)","High Mixing Hours","scale_1x","Top 2%",0.507273319354853,0.420481843440154,0.98256801846982,"Porterville_WWTF"
"237","Winter (DJF)","Low Mixing Hours","scale_1x","Top 2%",0.748437287623361,0.00560254210741419,0.974800302254005,"Porterville_WWTF"
"238","All","All Hours","scale_1x","Top 2%",0.512584536074222,0.528524662845381,0.963317033442016,"Porterville_WWTF"
"239","All","High Mixing Hours","scale_1x","Top 2%",0.433722697592656,0.479895693996275,0.913557726354379,"Porterville_WWTF"
"240","All","Low Mixing Hours","scale_1x","Top 2%",0.654100437104855,0.222526968295102,0.9837388270968,"Porterville_WWTF"
"241","Spring (MAM)","All Hours","scale_1x","Top 2%",0.487588029250038,0.494845285670167,0.970762528552385,"Redding_WWTP"
"242","Spring (MAM)","High Mixing Hours","scale_1x","Top 2%",0.435150010938299,0.410740201939733,0.89873171969336,"Redding_WWTP"
"243","Spring (MAM)","Low Mixing Hours","scale_1x","Top 2%",0.543641553141124,0.561796693866053,0.965684071843284,"Redding_WWTP"
"244","Summer (JJA)","All Hours","scale_1x","Top 2%",0.573718985532592,-0.0908667442631509,0.952754140831382,"Redding_WWTP"
"245","Summer (JJA)","High Mixing Hours","scale_1x","Top 2%",0.417867640105238,0.429075965157492,0.841452192391909,"Redding_WWTP"
"246","Summer (JJA)","Low Mixing Hours","scale_1x","Top 2%",0.658411198699977,-0.206947247544383,0.950498683327855,"Redding_WWTP"
"247","Fall (SON)","All Hours","scale_1x","Top 2%",0.528443782993371,0.465996553714163,0.977243976886997,"Redding_WWTP"
"248","Fall (SON)","High Mixing Hours","scale_1x","Top 2%",0.447569264738764,0.353724071069997,0.906339168666878,"Redding_WWTP"
"249","Fall (SON)","Low Mixing Hours","scale_1x","Top 2%",0.673732928018294,0.111050837627794,0.962304664059121,"Redding_WWTP"
"250","Winter (DJF)","All Hours","scale_1x","Top 2%",0.591376322691011,0.528240723916446,0.958481012380699,"Redding_WWTP"
"251","Winter (DJF)","High Mixing Hours","scale_1x","Top 2%",0.491889337570696,0.462859661967578,0.974037131122737,"Redding_WWTP"
"252","Winter (DJF)","Low Mixing Hours","scale_1x","Top 2%",0.681712047421102,0.308552302622939,0.954583424828684,"Redding_WWTP"
"253","All","All Hours","scale_1x","Top 2%",0.499265352431074,0.577285836533123,0.980766242373932,"Redding_WWTP"
"254","All","High Mixing Hours","scale_1x","Top 2%",0.441142543610225,0.441685276061346,0.912091209145954,"Redding_WWTP"
"255","All","Low Mixing Hours","scale_1x","Top 2%",0.596440376612429,0.442100995372693,0.976887736054968,"Redding_WWTP"
"256","Spring (MAM)","All Hours","scale_1x","Top 2%",0.639500465707932,-0.527229162768508,0.964359580853813,"Sacramento"
"257","Spring (MAM)","High Mixing Hours","scale_1x","Top 2%",0.413851729082388,0.423761774499824,0.828312463662695,"Sacramento"
"258","Spring (MAM)","Low Mixing Hours","scale_1x","Top 2%",0.681650825359542,-0.526479182095271,0.970467903467447,"Sacramento"
"259","Summer (JJA)","All Hours","scale_1x","Top 2%",0.620441202259673,-0.485816495760668,0.957468734739023,"Sacramento"
"260","Summer (JJA)","High Mixing Hours","scale_1x","Top 2%",0.37941105240417,0.592238865263748,0.795518115473578,"Sacramento"
"261","Summer (JJA)","Low Mixing Hours","scale_1x","Top 2%",0.621862424581676,-0.314534223405271,0.978924196363832,"Sacramento"
"262","Fall (SON)","All Hours","scale_1x","Top 2%",0.669121696672412,-0.481155480034366,0.976492677623813,"Sacramento"
"263","Fall (SON)","High Mixing Hours","scale_1x","Top 2%",0.442899025739553,0.324844280293399,0.891399642916393,"Sacramento"
"264","Fall (SON)","Low Mixing Hours","scale_1x","Top 2%",0.635627754179025,-0.037840063759383,0.981061322837866,"Sacramento"
"265","Winter (DJF)","All Hours","scale_1x","Top 2%",0.562688425793346,0.116878818889551,0.988188540160901,"Sacramento"
"266","Winter (DJF)","High Mixing Hours","scale_1x","Top 2%",0.517189819634378,0.0706137600840585,0.93915064422577,"Sacramento"
"267","Winter (DJF)","Low Mixing Hours","scale_1x","Top 2%",0.652377608380677,-0.0158593911797509,0.982676711340117,"Sacramento"
"268","All","All Hours","scale_1x","Top 2%",0.629208312145607,-0.434987198342711,0.975781041603181,"Sacramento"
"269","All","High Mixing Hours","scale_1x","Top 2%",0.457337054418525,0.2493520735983,0.905221663527519,"Sacramento"
"270","All","Low Mixing Hours","scale_1x","Top 2%",0.626272178214493,-0.167058482878889,0.980260147709459,"Sacramento"
"271","Spring (MAM)","All Hours","scale_1x","Top 2%",0.59790874720347,-0.214039971885531,0.987521990943409,"SanDiego_Metro"
"272","Spring (MAM)","High Mixing Hours","scale_1x","Top 2%",0.47136094678099,0.0937184612157228,0.8208693363695,"SanDiego_Metro"
"273","Spring (MAM)","Low Mixing Hours","scale_1x","Top 2%",0.680042455969715,-0.340570657213812,0.982619270996524,"SanDiego_Metro"
"274","Summer (JJA)","All Hours","scale_1x","Top 2%",0.628355931884445,-0.358016270898647,0.989221452928067,"SanDiego_Metro"
"275","Summer (JJA)","High Mixing Hours","scale_1x","Top 2%",0.409581647618542,0.434046235519268,0.824503050826938,"SanDiego_Metro"
"276","Summer (JJA)","Low Mixing Hours","scale_1x","Top 2%",0.682845960042522,-0.347088440287648,0.981069017112358,"SanDiego_Metro"
"277","Fall (SON)","All Hours","scale_1x","Top 2%",0.595052425181076,-0.0856452882158747,0.976771531111803,"SanDiego_Metro"
"278","Fall (SON)","High Mixing Hours","scale_1x","Top 2%",0.477932620449927,0.113274722295468,0.886193911791683,"SanDiego_Metro"
"279","Fall (SON)","Low Mixing Hours","scale_1x","Top 2%",0.606488267519922,0.153700953580526,0.972781058507819,"SanDiego_Metro"
"280","Winter (DJF)","All Hours","scale_1x","Top 2%",0.584126765088524,0.0316003900773334,0.983810803405752,"SanDiego_Metro"
"281","Winter (DJF)","High Mixing Hours","scale_1x","Top 2%",0.537969599276136,-0.126871201362706,0.916600301895129,"SanDiego_Metro"
"282","Winter (DJF)","Low Mixing Hours","scale_1x","Top 2%",0.611344880911119,0.180741959839178,0.976589554517359,"SanDiego_Metro"
"283","All","All Hours","scale_1x","Top 2%",0.53833562044748,0.107263280566414,0.962648698222209,"SanDiego_Metro"
"284","All","High Mixing Hours","scale_1x","Top 2%",0.451431503472618,0.234708189728368,0.880150700449701,"SanDiego_Metro"
"285","All","Low Mixing Hours","scale_1x","Top 2%",0.535949960957284,0.378260910431908,0.97325653767836,"SanDiego_Metro"
"286","Spring (MAM)","All Hours","scale_1x","Top 2%",0.572770965695865,0.0300072699987974,0.977998681609959,"SanJose_WPCP"
"287","Spring (MAM)","High Mixing Hours","scale_1x","Top 2%",0.405732747772216,0.563638294083966,0.877836111898406,"SanJose_WPCP"
"288","Spring (MAM)","Low Mixing Hours","scale_1x","Top 2%",0.566631124434147,0.367601395801461,0.97856883120049,"SanJose_WPCP"
"289","Summer (JJA)","All Hours","scale_1x","Top 2%",0.575783507458122,-0.0915946255130012,0.974068280863115,"SanJose_WPCP"
"290","Summer (JJA)","High Mixing Hours","scale_1x","Top 2%",0.391565742784424,0.613133622604332,0.795164845397469,"SanJose_WPCP"
"291","Summer (JJA)","Low Mixing Hours","scale_1x","Top 2%",0.541140942206259,0.347336496648722,0.97498209350503,"SanJose_WPCP"
"292","Fall (SON)","All Hours","scale_1x","Top 2%",0.523796496325443,0.513632857223866,0.982362825365193,"SanJose_WPCP"
"293","Fall (SON)","High Mixing Hours","scale_1x","Top 2%",0.485233157653467,0.231539065285133,0.919220186039076,"SanJose_WPCP"
"294","Fall (SON)","Low Mixing Hours","scale_1x","Top 2%",0.666425884447888,0.0830975897300052,0.968757201963652,"SanJose_WPCP"
"295","Winter (DJF)","All Hours","scale_1x","Top 2%",0.581505710574554,0.201864393108433,0.985747071988579,"SanJose_WPCP"
"296","Winter (DJF)","High Mixing Hours","scale_1x","Top 2%",0.53551166901468,0.102956605503909,0.959877760781662,"SanJose_WPCP"
"297","Winter (DJF)","Low Mixing Hours","scale_1x","Top 2%",0.632690680990206,0.234053878727928,0.975803543691784,"SanJose_WPCP"
"298","All","All Hours","scale_1x","Top 2%",0.55414026110042,0.211941873030049,0.982696123289913,"SanJose_WPCP"
"299","All","High Mixing Hours","scale_1x","Top 2%",0.450716124366291,0.374983458158669,0.902322734376977,"SanJose_WPCP"
"300","All","Low Mixing Hours","scale_1x","Top 2%",0.569838330079638,0.421290484004798,0.979722456387326,"SanJose_WPCP"
"301","Spring (MAM)","All Hours","scale_1x","Top 2%",0.474342752005607,0.49232903737356,0.970652308176334,"SOCWA_TP"
"302","Spring (MAM)","High Mixing Hours","scale_1x","Top 2%",0.478986606172258,0.232958438455928,0.94314123235396,"SOCWA_TP"
"303","Spring (MAM)","Low Mixing Hours","scale_1x","Top 2%",0.514627900558278,0.593687197914032,0.979593301610354,"SOCWA_TP"
"304","Summer (JJA)","All Hours","scale_1x","Top 2%",0.399549711076588,0.842226812430563,0.959181386665959,"SOCWA_TP"
"305","Summer (JJA)","High Mixing Hours","scale_1x","Top 2%",0.476744420228512,0.239115236572179,0.943464098359868,"SOCWA_TP"
"306","Summer (JJA)","Low Mixing Hours","scale_1x","Top 2%",0.459414271474247,0.845697248911696,0.972019024334692,"SOCWA_TP"
"307","Fall (SON)","All Hours","scale_1x","Top 2%",0.460237122732315,0.7523806884721,0.972917476065517,"SOCWA_TP"
"308","Fall (SON)","High Mixing Hours","scale_1x","Top 2%",0.514367846721644,0.126691506117824,0.946635852646179,"SOCWA_TP"
"309","Fall (SON)","Low Mixing Hours","scale_1x","Top 2%",0.54105040231718,0.683425692455839,0.941064736478329,"SOCWA_TP"
"310","Winter (DJF)","All Hours","scale_1x","Top 2%",0.540561973982245,0.464579605691661,0.982080555103815,"SOCWA_TP"
"311","Winter (DJF)","High Mixing Hours","scale_1x","Top 2%",0.416190202910583,0.717846237180437,0.971127444956696,"SOCWA_TP"
"312","Winter (DJF)","Low Mixing Hours","scale_1x","Top 2%",0.682665009794582,0.0922477470948881,0.973626360159496,"SOCWA_TP"
"313","All","All Hours","scale_1x","Top 2%",0.520287518515935,0.319883241360344,0.987000990359339,"SOCWA_TP"
"314","All","High Mixing Hours","scale_1x","Top 2%",0.457528616097447,0.377136188112684,0.958411337112403,"SOCWA_TP"
"315","All","Low Mixing Hours","scale_1x","Top 2%",0.565622372126714,0.414263904957464,0.988912763030946,"SOCWA_TP"
"316","Spring (MAM)","All Hours","scale_1x","Top 2%",0.46685739757989,0.165396503173024,0.89002487412354,"Southeast_WPCP"
"317","Spring (MAM)","High Mixing Hours","scale_1x","Top 2%",0.371448845255186,0.691238576576249,0.796184819979572,"Southeast_WPCP"
"318","Spring (MAM)","Low Mixing Hours","scale_1x","Top 2%",0.549213650616202,-0.196777799149695,0.963944386628338,"Southeast_WPCP"
"319","Summer (JJA)","All Hours","scale_1x","Top 2%",0.493004655240668,0.0397372688305375,0.840142052025303,"Southeast_WPCP"
"320","Summer (JJA)","High Mixing Hours","scale_1x","Top 2%",0.361792441315532,0.72774340630567,0.731824476295287,"Southeast_WPCP"
"321","Summer (JJA)","Low Mixing Hours","scale_1x","Top 2%",0.54443698447757,-0.172233736927594,0.924175892847723,"Southeast_WPCP"
"322","Fall (SON)","All Hours","scale_1x","Top 2%",0.546585741676135,-0.145868910760777,0.949269250811305,"Southeast_WPCP"
"323","Fall (SON)","High Mixing Hours","scale_1x","Top 2%",0.400646771197672,0.562711082167148,0.846160290687696,"Southeast_WPCP"
"324","Fall (SON)","Low Mixing Hours","scale_1x","Top 2%",0.568603879573062,-0.0763552818559731,0.986309947169463,"Southeast_WPCP"
"325","Winter (DJF)","All Hours","scale_1x","Top 2%",0.377476707389428,0.972599685146335,0.908450992560091,"Southeast_WPCP"
"326","Winter (DJF)","High Mixing Hours","scale_1x","Top 2%",0.466511093705831,0.266213733398995,0.917971269935322,"Southeast_WPCP"
"327","Winter (DJF)","Low Mixing Hours","scale_1x","Top 2%",0.516818104137004,0.50782684466486,0.913590060551676,"Southeast_WPCP"
"328","All","All Hours","scale_1x","Top 2%",0.51694368870374,-0.0252297125921904,0.964288543010361,"Southeast_WPCP"
"329","All","High Mixing Hours","scale_1x","Top 2%",0.392862204343511,0.612211851101178,0.846756855184304,"Southeast_WPCP"
"330","All","Low Mixing Hours","scale_1x","Top 2%",0.467517662874243,0.421743124564895,0.932798920714861,"Southeast_WPCP"
"331","Spring (MAM)","All Hours","scale_1x","Top 2%",0.512179349816807,0.342029350625033,0.977122344990849,"Ukiah_WWTP"
"332","Spring (MAM)","High Mixing Hours","scale_1x","Top 2%",0.444713517801241,0.34071883588697,0.878099811380104,"Ukiah_WWTP"
"333","Spring (MAM)","Low Mixing Hours","scale_1x","Top 2%",0.509674529391659,0.552134648916421,0.977548751261806,"Ukiah_WWTP"
"334","Summer (JJA)","All Hours","scale_1x","Top 2%",0.529832613866154,0.167775837782283,0.971508320554009,"Ukiah_WWTP"
"335","Summer (JJA)","High Mixing Hours","scale_1x","Top 2%",0.392052531525176,0.587169584295473,0.826474754179979,"Ukiah_WWTP"
"336","Summer (JJA)","Low Mixing Hours","scale_1x","Top 2%",0.602813644390952,0.00384900368182081,0.983574191329001,"Ukiah_WWTP"
"337","Fall (SON)","All Hours","scale_1x","Top 2%",0.568304902205425,0.100740806790253,0.978181912878987,"Ukiah_WWTP"
"338","Fall (SON)","High Mixing Hours","scale_1x","Top 2%",0.449517386901029,0.330847633797959,0.872922844768062,"Ukiah_WWTP"
"339","Fall (SON)","Low Mixing Hours","scale_1x","Top 2%",0.667890659166621,0.000730438961307784,0.990105070022531,"Ukiah_WWTP"
"340","Winter (DJF)","All Hours","scale_1x","Top 2%",0.604603612717695,0.353933076244327,0.976520648845388,"Ukiah_WWTP"
"341","Winter (DJF)","High Mixing Hours","scale_1x","Top 2%",0.625956184492212,-0.315437035262706,0.966194204191987,"Ukiah_WWTP"
"342","Winter (DJF)","Low Mixing Hours","scale_1x","Top 2%",0.732164154478202,0.0244628127200628,0.952691610196261,"Ukiah_WWTP"
"343","All","All Hours","scale_1x","Top 2%",0.530717451736732,0.2778694251797,0.98594418905119,"Ukiah_WWTP"
"344","All","High Mixing Hours","scale_1x","Top 2%",0.455143979962023,0.315619408073417,0.906305280482231,"Ukiah_WWTP"
"345","All","Low Mixing Hours","scale_1x","Top 2%",0.571489112379279,0.409370528296579,0.979570997963045,"Ukiah_WWTP"
"346","Spring (MAM)","All Hours","scale_1x","Top 2%",0.61192978003496,-0.0625389361556253,0.984235217240432,"Vacaville_WWTP"
"347","Spring (MAM)","High Mixing Hours","scale_1x","Top 2%",0.443919814476049,0.316148215970724,0.909905153923033,"Vacaville_WWTP"
"348","Spring (MAM)","Low Mixing Hours","scale_1x","Top 2%",0.684605608314681,-0.0290851718529829,0.978552144810155,"Vacaville_WWTP"
"349","Summer (JJA)","All Hours","scale_1x","Top 2%",0.606189905402235,-0.201245294990819,0.98536534668339,"Vacaville_WWTP"
"350","Summer (JJA)","High Mixing Hours","scale_1x","Top 2%",0.40125307412834,0.484902010900424,0.792022760270776,"Vacaville_WWTP"
"351","Summer (JJA)","Low Mixing Hours","scale_1x","Top 2%",0.641982255906365,-0.0776539496098634,0.985830406152956,"Vacaville_WWTP"
"352","Fall (SON)","All Hours","scale_1x","Top 2%",0.675267208261312,-0.0434338011324984,0.983668905503295,"Vacaville_WWTP"
"353","Fall (SON)","High Mixing Hours","scale_1x","Top 2%",0.441317693734426,0.349516342053377,0.912748415866519,"Vacaville_WWTP"
"354","Fall (SON)","Low Mixing Hours","scale_1x","Top 2%",0.722027440931551,-0.134890121800053,0.974124014441983,"Vacaville_WWTP"
"355","Winter (DJF)","All Hours","scale_1x","Top 2%",0.632470244963352,0.248935197869309,0.980894877471179,"Vacaville_WWTP"
"356","Winter (DJF)","High Mixing Hours","scale_1x","Top 2%",0.526046746678364,0.075879262042513,0.965702461040632,"Vacaville_WWTP"
"357","Winter (DJF)","Low Mixing Hours","scale_1x","Top 2%",0.710887252227137,0.0736812737912827,0.973968995992707,"Vacaville_WWTP"
"358","All","All Hours","scale_1x","Top 2%",0.586784051894717,0.239459843273194,0.985779440200065,"Vacaville_WWTP"
"359","All","High Mixing Hours","scale_1x","Top 2%",0.420053962358442,0.498342215670939,0.892904795352818,"Vacaville_WWTP"
"360","All","Low Mixing Hours","scale_1x","Top 2%",0.691284716370699,-0.010261674420436,0.980857127422908,"Vacaville_WWTP"
"361","Spring (MAM)","All Hours","scale_1x","Top 2%",0.619850389024718,-0.18148261945201,0.986940074298861,"Z-Best_Facility"
"362","Spring (MAM)","High Mixing Hours","scale_1x","Top 2%",0.428277878602765,0.436415667677653,0.896467162395998,"Z-Best_Facility"
"363","Spring (MAM)","Low Mixing Hours","scale_1x","Top 2%",0.613484690986572,0.15276506463471,0.987318448559041,"Z-Best_Facility"
"364","Summer (JJA)","All Hours","scale_1x","Top 2%",0.625413726120083,-0.362006561300699,0.98331470669179,"Z-Best_Facility"
"365","Summer (JJA)","High Mixing Hours","scale_1x","Top 2%",0.441701603265149,0.303133914220274,0.835918457453915,"Z-Best_Facility"
"366","Summer (JJA)","Low Mixing Hours","scale_1x","Top 2%",0.645527475715352,-0.156440604177249,0.986018801148568,"Z-Best_Facility"
"367","Fall (SON)","All Hours","scale_1x","Top 2%",0.574226566880747,0.120464336879234,0.980325474974208,"Z-Best_Facility"
"368","Fall (SON)","High Mixing Hours","scale_1x","Top 2%",0.495251707136738,0.084472403813218,0.916519359090081,"Z-Best_Facility"
"369","Fall (SON)","Low Mixing Hours","scale_1x","Top 2%",0.595914026297814,0.302411504394522,0.979486740325114,"Z-Best_Facility"
"370","Winter (DJF)","All Hours","scale_1x","Top 2%",0.503178085007343,0.586610265320664,0.972806118264558,"Z-Best_Facility"
"371","Winter (DJF)","High Mixing Hours","scale_1x","Top 2%",0.628436856060874,-0.419372727235948,0.956891797312949,"Z-Best_Facility"
"372","Winter (DJF)","Low Mixing Hours","scale_1x","Top 2%",0.720932397748889,0.105998371872121,0.974224831900447,"Z-Best_Facility"
"373","All","All Hours","scale_1x","Top 2%",0.607068666782333,-0.198918310335527,0.988537020954495,"Z-Best_Facility"
"374","All","High Mixing Hours","scale_1x","Top 2%",0.435473868833463,0.437064211228424,0.918140657943657,"Z-Best_Facility"
"375","All","Low Mixing Hours","scale_1x","Top 2%",0.583063563302585,0.187395010327832,0.985398545286963,"Z-Best_Facility"
"376","Spring (MAM)","All Hours","scale_1x","Top 2%",0.564028039911314,0.200181981736158,0.988535638882617,"ZWEDC"
"377","Spring (MAM)","High Mixing Hours","scale_1x","Top 2%",0.442872194633513,0.395557414661807,0.956921263885446,"ZWEDC"
"378","Spring (MAM)","Low Mixing Hours","scale_1x","Top 2%",0.591166584709239,0.387765746773035,0.983919884254088,"ZWEDC"
"379","Summer (JJA)","All Hours","scale_1x","Top 2%",0.589815388976665,0.00500273447269173,0.986819404950107,"ZWEDC"
"380","Summer (JJA)","High Mixing Hours","scale_1x","Top 2%",0.459250483876518,0.264823019523493,0.910290976987403,"ZWEDC"
"381","Summer (JJA)","Low Mixing Hours","scale_1x","Top 2%",0.622437722881143,0.0273895772803282,0.98335485692121,"ZWEDC"
"382","Fall (SON)","All Hours","scale_1x","Top 2%",0.541673645647293,0.540783670051477,0.985307528627069,"ZWEDC"
"383","Fall (SON)","High Mixing Hours","scale_1x","Top 2%",0.591443573975132,-0.277624068037645,0.965088102508706,"ZWEDC"
"384","Fall (SON)","Low Mixing Hours","scale_1x","Top 2%",0.702658424586768,0.130741364704308,0.970369553285272,"ZWEDC"
"385","Winter (DJF)","All Hours","scale_1x","Top 2%",0.530164246999804,0.668631617739197,0.980928123720736,"ZWEDC"
"386","Winter (DJF)","High Mixing Hours","scale_1x","Top 2%",0.642919710070241,-0.393776765661342,0.973732174500545,"ZWEDC"
"387","Winter (DJF)","Low Mixing Hours","scale_1x","Top 2%",0.680703504325007,0.280842935575785,0.970278533241764,"ZWEDC"
"388","All","All Hours","scale_1x","Top 2%",0.552349075735268,0.327879617804563,0.98869530197753,"ZWEDC"
"389","All","High Mixing Hours","scale_1x","Top 2%",0.545068423937434,-0.0860491302079822,0.973622363694134,"ZWEDC"
"390","All","Low Mixing Hours","scale_1x","Top 2%",0.58710960852359,0.490552468935941,0.980032781796532,"ZWEDC"
